
created_on,privilege,granted_on,name,granted_to,grantee_name,grant_option,granted_by
2022-01-27T13:46:07.817-05:00,APPLY MASKING POLICY,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.817-05:00,APPLY ROW ACCESS POLICY,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.82-05:00,APPLY TAG,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-12-13T19:15:47.193-05:00,AUDIT,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-06-01T11:03:14.819-04:00,CANCEL QUERY,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.813-05:00,CREATE ACCOUNT,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.82-05:00,CREATE CREDENTIAL,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.818-05:00,CREATE DATA EXCHANGE LISTING,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.818-05:00,CREATE FAILOVER GROUP,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.814-05:00,CREATE INTEGRATION,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-02-04T12:56:03.112-05:00,CREATE NETWORK POLICY,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.818-05:00,CREATE REPLICATION GROUP,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.812-05:00,CREATE SHARE,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-06-01T11:03:14.811-04:00,EXECUTE ALERT,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.814-05:00,EXECUTE MANAGED TASK,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.814-05:00,EXECUTE TASK,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.813-05:00,IMPORT SHARE,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-02-04T12:56:03.116-05:00,MANAGE ACCOUNT SUPPORT CASES,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-02-04T12:56:03.116-05:00,MANAGE USER SUPPORT CASES,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-06-01T11:03:14.801-04:00,MONITOR,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.816-05:00,MONITOR EXECUTION,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.817-05:00,MONITOR SECURITY,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.812-05:00,MONITOR USAGE,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.813-05:00,OVERRIDE SHARE RESTRICTIONS,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:07.818-05:00,PURCHASE DATA EXCHANGE LISTING,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2023-04-28T11:54:19.255-04:00,RESOLVE ALL,ACCOUNT,KINAXIS,ROLE,ACCOUNTADMIN,true,
2022-01-27T13:46:09.401-05:00,CREATE DATABASE,ACCOUNT,KINAXIS,ROLE,APPADMIN,true,
2022-01-27T13:46:09.402-05:00,CREATE INTEGRATION,ACCOUNT,KINAXIS,ROLE,APPADMIN,true,
2022-01-27T13:46:09.401-05:00,CREATE ROLE,ACCOUNT,KINAXIS,ROLE,APPADMIN,true,
2022-01-27T13:46:09.401-05:00,CREATE USER,ACCOUNT,KINAXIS,ROLE,APPADMIN,true,
2022-05-06T11:56:01.077-04:00,MANAGE USER SUPPORT CASES,ACCOUNT,KINAXIS,ROLE,DIDEVELOPER,false,ACCOUNTADMIN
2022-02-15T15:46:33.572-05:00,APPLY MASKING POLICY,ACCOUNT,KINAXIS,ROLE,MASKING_ADMIN,false,ACCOUNTADMIN
2022-04-04T17:23:52.513-04:00,APPLY TAG,ACCOUNT,KINAXIS,ROLE,ORGADMIN,true,
2022-02-04T12:56:03.124-05:00,MANAGE ORGANIZATION SUPPORT CASES,ACCOUNT,KINAXIS,ROLE,ORGADMIN,true,
2022-01-27T13:46:07.809-05:00,APPLY PASSWORD POLICY,ACCOUNT,KINAXIS,ROLE,SECURITYADMIN,true,
2022-01-27T13:46:07.807-05:00,APPLY SESSION POLICY,ACCOUNT,KINAXIS,ROLE,SECURITYADMIN,true,
2022-01-27T13:46:07.806-05:00,ATTACH POLICY,ACCOUNT,KINAXIS,ROLE,SECURITYADMIN,true,
2022-01-27T13:46:07.806-05:00,CREATE NETWORK POLICY,ACCOUNT,KINAXIS,ROLE,SECURITYADMIN,true,
2022-01-27T13:46:07.807-05:00,MANAGE GRANTS,ACCOUNT,KINAXIS,ROLE,SECURITYADMIN,true,
2022-01-27T13:46:07.812-05:00,CREATE DATABASE,ACCOUNT,KINAXIS,ROLE,SYSADMIN,true,
2022-01-27T13:46:07.81-05:00,CREATE WAREHOUSE,ACCOUNT,KINAXIS,ROLE,SYSADMIN,true,
2022-01-27T13:46:07.806-05:00,CREATE ROLE,ACCOUNT,KINAXIS,ROLE,USERADMIN,true,
2022-01-27T13:46:07.805-05:00,CREATE USER,ACCOUNT,KINAXIS,ROLE,USERADMIN,true,
