
CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2022-01-27T13:46:07.709-05:00,,ACCOUNTADMIN,Account administrator can manage all aspects of the account.,,ROLE,
2022-02-24T15:33:33.032-05:00,2022-02-24T15:37:03.442-05:00,DIDEV,,,ROLE,
2022-02-15T15:45:57.877-05:00,,MASKING_ADMIN,,ACCOUNTADMIN,ROLE,
2022-01-27T13:46:08.036-05:00,,ORGADMIN,Organization administrator can manage organizations and accounts in organizations,,ROLE,
2022-03-29T10:41:14.357-04:00,2022-03-29T11:13:11.715-04:00,BIUSER,,,ROLE,
2022-03-07T11:25:52.818-05:00,,DIDEVELOPER,,USERADMIN,ROLE,
2022-03-07T11:38:47.479-05:00,,DITESTER,,SECURITYADMIN,ROLE,
2022-03-16T15:59:32.209-04:00,,DATADIRECTOR,,SECURITYADMIN,ROLE,
2022-11-28T12:38:00.633-05:00,,SNDBX_USER,,ACCOUNTADMIN,ROLE,
2022-01-27T13:46:07.662-05:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
2022-01-27T13:46:07.773-05:00,,USERADMIN,,,ROLE,
2022-06-07T15:24:42.386-04:00,,PRODUSERBI,,SECURITYADMIN,ROLE,
2022-11-14T11:49:23.11-05:00,2023-05-18T15:03:11.925-04:00,EXTERNALUSER,Test role,,ROLE,
2022-06-07T15:20:02.888-04:00,,PRODADMINBI,,SECURITYADMIN,ROLE,
2022-07-26T12:55:01.427-04:00,,LOGUSER,,SECURITYADMIN,ROLE,
2022-03-07T11:24:06.028-05:00,2022-03-07T11:25:34.968-05:00,DIDEVELOPER,,,ROLE,
2022-02-15T15:46:39.389-05:00,2022-05-02T12:15:48.336-04:00,C_HR,,,ROLE,
2022-01-27T13:46:07.733-05:00,,SECURITYADMIN,Security administrator can manage security aspects of the account.,,ROLE,
2022-05-31T10:01:09.872-04:00,,PRODADMINDI,,USERADMIN,ROLE,
2022-05-31T10:00:56.016-04:00,,PRODUSERDI,,USERADMIN,ROLE,
2022-05-20T10:15:14.136-04:00,,BITESTER,,SECURITYADMIN,ROLE,
2022-03-29T11:14:37.386-04:00,,BIUSER,,SECURITYADMIN,ROLE,
2022-01-27T13:46:07.752-05:00,,SYSADMIN,System administrator can create and manage databases and warehouses.,,ROLE,
2022-02-24T15:33:56.422-05:00,2022-02-24T15:37:09.275-05:00,DIDEV1,,,ROLE,
