
CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2022-06-15T11:11:07.195-04:00,2022-07-22T09:49:52.063-04:00,PRODADMINBI,USER,MVERMA,SECURITYADMIN
2022-06-07T15:23:34.181-04:00,2022-08-04T10:03:37.807-04:00,PRODADMINBI,USER,ARUPP,SECURITYADMIN
2022-06-15T11:11:49.352-04:00,,PRODADMINBI,USER,MSELVAM,SECURITYADMIN
2023-05-18T15:03:39.415-04:00,,PRODADMINBI,USER,ANDYRUPP,SECURITYADMIN
2022-11-09T14:10:39.296-05:00,,PRODADMINBI,USER,EBERDICHESKY,SECURITYADMIN
2022-03-30T11:53:02.47-04:00,2023-05-19T11:17:01.817-04:00,MASKING_ADMIN,USER,DHERRICK,ACCOUNTADMIN
2022-03-30T11:53:20.175-04:00,,MASKING_ADMIN,USER,MSELVAM,ACCOUNTADMIN
2022-02-15T15:47:51.645-05:00,,MASKING_ADMIN,USER,ToralParekh,ACCOUNTADMIN
2022-07-28T11:08:25.938-04:00,2022-11-14T11:39:38.371-05:00,LOGUSER,USER,JKYASARAM,SECURITYADMIN
2022-07-26T12:55:22.038-04:00,,LOGUSER,USER,NPANJABI,SECURITYADMIN
2022-07-26T12:57:12.326-04:00,2022-07-26T13:23:47.328-04:00,LOGUSER,USER,MSELVAM,SECURITYADMIN
2022-11-11T10:54:24.367-05:00,,LOGUSER,USER,MSELVAM,SECURITYADMIN
2023-05-17T16:12:47.711-04:00,,LOGUSER,USER,ANDYRUPP,SECURITYADMIN
2022-03-16T12:53:09.48-04:00,2023-04-26T16:04:17.258-04:00,SYSADMIN,USER,MVERMA,
2023-01-12T10:40:07.173-05:00,2023-01-12T14:05:17.07-05:00,SYSADMIN,USER,SHUBHAM,
2022-03-16T12:28:14.329-04:00,2023-04-26T15:54:50.899-04:00,SYSADMIN,USER,DHERRICK,
2022-03-16T12:39:00.615-04:00,,SYSADMIN,USER,MSELVAM,
2022-02-08T14:28:03.343-05:00,2022-02-08T14:28:19.844-05:00,SYSADMIN,USER,Toral Parekh,ACCOUNTADMIN
2022-07-26T09:45:10.962-04:00,2023-04-26T16:04:17.261-04:00,SYSADMIN,USER,NPANJABI,ACCOUNTADMIN
2022-07-26T09:43:25.824-04:00,2022-07-26T09:45:10.962-04:00,SYSADMIN,USER,NPANJABI,ACCOUNTADMIN
2022-03-29T10:39:58.514-04:00,2023-04-26T16:04:18.461-04:00,SYSADMIN,USER,RNAIK,ACCOUNTADMIN
2022-02-08T14:22:34.761-05:00,2022-02-08T14:26:20.505-05:00,SYSADMIN,USER,MSELVAM,ACCOUNTADMIN
2022-02-08T14:51:06.36-05:00,2022-02-08T14:51:21.493-05:00,SYSADMIN,USER,MSELVAM,ACCOUNTADMIN
2023-05-16T14:57:49.067-04:00,2023-05-16T15:07:49.012-04:00,SYSADMIN,USER,ANDYRUPP,ACCOUNTADMIN
2023-05-18T15:15:24.55-04:00,,SYSADMIN,USER,ANDYRUPP,ACCOUNTADMIN
2022-09-26T15:40:53.458-04:00,2023-04-26T16:04:17.205-04:00,SYSADMIN,USER,JGHADIGAONKAR,ACCOUNTADMIN
2022-11-09T14:10:18.331-05:00,2023-04-26T16:04:17.176-04:00,SYSADMIN,USER,EBERDICHESKY,ACCOUNTADMIN
