
CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2022-02-04T12:56:03.112-05:00,2022-02-04T12:56:03.113-05:00,CREATE NETWORK POLICY,ACCOUNT,KINAXIS,,,ROLE,ACCOUNTADMIN,TRUE,,,
2022-06-01T11:03:14.801-04:00,2022-06-01T11:03:14.801-04:00,MONITOR,ACCOUNT,KINAXIS,,,ROLE,ACCOUNTADMIN,TRUE,,,
2022-01-27T13:46:07.816-05:00,2022-01-27T13:46:07.816-05:00,MONITOR EXECUTION,ACCOUNT,KINAXIS,,,ROLE,ACCOUNTADMIN,TRUE,,,
2022-01-27T13:46:07.813-05:00,2022-01-27T13:46:07.813-05:00,CREATE ACCOUNT,ACCOUNT,KINAXIS,,,ROLE,ACCOUNTADMIN,TRUE,,,
2022-01-27T13:46:07.805-05:00,2022-01-27T13:46:07.806-05:00,CREATE USER,ACCOUNT,KINAXIS,,,ROLE,USERADMIN,TRUE,,,
2022-01-27T13:46:07.814-05:00,2022-01-27T13:46:07.814-05:00,MANAGE GLOBAL OBJECTS,ACCOUNT,KINAXIS,,,ROLE,ACCOUNTADMIN,TRUE,,,
2022-03-07T11:26:22.153-05:00,2022-03-07T11:26:22.155-05:00,USAGE,ROLE,DIDEVELOPER,,,ROLE,SYSADMIN,FALSE,USERADMIN,,ROLE
2022-06-07T15:21:11.681-04:00,2022-06-07T15:25:28.912-04:00,USAGE,ROLE,PRODUSERDI,,,ROLE,PRODADMINBI,FALSE,USERADMIN,2022-06-07T15:25:28.912-04:00,ROLE
2022-05-02T12:10:12.07-04:00,2022-05-02T12:10:12.071-04:00,OWNERSHIP,USER,MSELVAM,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-05-02T12:08:26.838-04:00,2022-05-02T12:08:26.838-04:00,OWNERSHIP,USER,INFORMATICAUSER,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-11-09T14:03:58.705-05:00,2022-11-09T14:03:58.706-05:00,OWNERSHIP,USER,EBERDICHESKY,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-03-30T11:51:13.663-04:00,2022-03-30T11:51:29.438-04:00,USAGE,ROLE,DIDEVELOPER,,,ROLE,MASKING_ADMIN,FALSE,USERADMIN,2022-03-30T11:51:29.438-04:00,ROLE
2022-05-31T10:30:42.479-04:00,2022-05-31T10:30:42.48-04:00,USAGE,ROLE,PRODUSERDI,,,ROLE,PRODADMINDI,FALSE,USERADMIN,,ROLE
2022-05-02T12:10:47.592-04:00,2022-05-02T12:10:47.594-04:00,OWNERSHIP,USER,ToralParekh,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-05-31T10:31:23.507-04:00,2022-05-31T10:31:23.508-04:00,USAGE,ROLE,PRODADMINDI,,,ROLE,SYSADMIN,FALSE,USERADMIN,,ROLE
2022-05-31T10:01:09.898-04:00,2022-05-31T10:01:09.899-04:00,OWNERSHIP,ROLE,PRODADMINDI,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-03-07T11:25:52.836-05:00,2022-03-07T11:25:52.837-05:00,OWNERSHIP,ROLE,DIDEVELOPER,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-05-02T12:10:19.07-04:00,2022-05-02T12:10:19.071-04:00,OWNERSHIP,USER,RNAIK,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-05-02T12:09:55.659-04:00,2022-05-02T12:09:55.66-04:00,OWNERSHIP,USER,CREN,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-05-31T10:00:56.047-04:00,2022-05-31T10:00:56.048-04:00,OWNERSHIP,ROLE,PRODUSERDI,,,ROLE,USERADMIN,TRUE,USERADMIN,,ROLE
2022-03-07T11:39:00.517-05:00,2022-03-07T11:39:00.518-05:00,USAGE,ROLE,DITESTER,,,ROLE,DIDEVELOPER,FALSE,SECURITYADMIN,,ROLE
2022-03-07T11:38:47.505-05:00,2022-03-07T11:38:47.507-05:00,OWNERSHIP,ROLE,DITESTER,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-05-20T10:15:14.158-04:00,2022-05-20T10:15:14.159-04:00,OWNERSHIP,ROLE,BITESTER,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2023-01-13T10:43:58.569-05:00,2023-01-13T10:43:58.569-05:00,CREATE TABLE,SCHEMA,EDW_BKP_TB,CORPITDATATEST,EDW_BKP_TB,ROLE,DITESTER,FALSE,SECURITYADMIN,,ROLE
2023-01-13T10:44:10.13-05:00,2023-01-13T10:44:10.13-05:00,USAGE,SCHEMA,EDW_BKP_TB,CORPITDATATEST,EDW_BKP_TB,ROLE,DITESTER,FALSE,SECURITYADMIN,,ROLE
2023-01-13T10:43:42.1-05:00,2023-01-13T10:43:42.1-05:00,OWNERSHIP,SCHEMA,EDW_BKP_TB,CORPITDATATEST,EDW_BKP_TB,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2023-01-13T10:44:21.49-05:00,2023-01-13T10:44:21.49-05:00,MODIFY,SCHEMA,EDW_BKP_TB,CORPITDATATEST,EDW_BKP_TB,ROLE,DITESTER,FALSE,SECURITYADMIN,,ROLE
2022-11-14T11:40:26.227-05:00,2022-11-14T11:43:23.501-05:00,USAGE,ROLE,LOGUSER,,,ROLE,BITESTER,FALSE,SECURITYADMIN,2022-11-14T11:43:23.501-05:00,ROLE
2022-06-07T15:25:54.624-04:00,2022-06-07T15:25:54.624-04:00,USAGE,ROLE,PRODUSERBI,,,ROLE,PRODADMINBI,FALSE,SECURITYADMIN,,ROLE
2022-05-20T10:16:05.727-04:00,2022-05-20T10:16:05.728-04:00,USAGE,ROLE,BITESTER,,,ROLE,BIUSER,FALSE,SECURITYADMIN,,ROLE
2022-07-26T12:55:01.449-04:00,2022-07-26T12:55:01.449-04:00,OWNERSHIP,ROLE,LOGUSER,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-03-16T16:06:57.181-04:00,2022-03-16T16:06:57.181-04:00,USAGE,ROLE,DATADIRECTOR,,,ROLE,ORGADMIN,FALSE,SECURITYADMIN,,ROLE
2022-03-29T14:31:03.482-04:00,2022-03-29T14:31:03.483-04:00,USAGE,ROLE,BIUSER,,,ROLE,SYSADMIN,FALSE,SECURITYADMIN,,ROLE
2022-03-16T15:59:32.253-04:00,2022-03-16T15:59:32.253-04:00,OWNERSHIP,ROLE,DATADIRECTOR,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-03-29T11:14:37.408-04:00,2022-03-29T11:14:37.409-04:00,OWNERSHIP,ROLE,BIUSER,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-06-07T15:24:42.41-04:00,2022-06-07T15:24:42.411-04:00,OWNERSHIP,ROLE,PRODUSERBI,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-11-14T11:39:20.945-05:00,2022-11-14T11:40:30.204-05:00,USAGE,ROLE,LOGUSER,,,ROLE,BIUSER,FALSE,SECURITYADMIN,2022-11-14T11:40:30.204-05:00,ROLE
2022-06-07T15:20:02.919-04:00,2022-06-07T15:20:02.92-04:00,OWNERSHIP,ROLE,PRODADMINBI,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,,ROLE
2022-06-07T15:21:14.386-04:00,2022-06-07T15:21:14.386-04:00,USAGE,ROLE,PRODADMINBI,,,ROLE,SYSADMIN,FALSE,SECURITYADMIN,,ROLE
2022-05-02T12:07:52.149-04:00,2022-05-02T12:08:26.836-04:00,OWNERSHIP,USER,INFORMATICAUSER,,,ROLE,SECURITYADMIN,TRUE,SECURITYADMIN,2022-05-02T12:08:26.836-04:00,ROLE
2022-05-24T15:57:20.5-04:00,2022-05-24T15:58:22.826-04:00,USAGE,ROLE,DITESTER,,,ROLE,SYSADMIN,FALSE,SECURITYADMIN,2022-05-24T15:58:22.826-04:00,ROLE
2023-03-28T13:47:23.134-04:00,2023-03-28T13:47:23.134-04:00,SELECT,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.126-04:00,2023-03-28T13:47:23.126-04:00,REFERENCES,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.132-04:00,2023-03-28T13:47:23.132-04:00,SELECT,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.129-04:00,2023-03-28T13:47:23.129-04:00,SELECT,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.116-04:00,2023-03-28T13:47:23.116-04:00,DELETE,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.127-04:00,2023-03-28T13:47:23.127-04:00,REBUILD,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.124-04:00,2023-03-28T13:47:23.124-04:00,INSERT,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.13-04:00,2023-03-28T13:47:23.13-04:00,SELECT,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.137-04:00,2023-03-28T13:47:23.137-04:00,UPDATE,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.094-04:00,2023-03-28T13:47:23.094-04:00,OWNERSHIP,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,TRUE,PRODADMINBI,,ROLE
2023-03-28T13:47:23.135-04:00,2023-03-28T13:47:23.135-04:00,TRUNCATE,VIEW,HR_COUNTRY_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:02:03.785-04:00,2023-03-28T15:02:03.785-04:00,DELETE,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:02:03.793-04:00,2023-03-28T15:02:03.793-04:00,TRUNCATE,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:02:03.791-04:00,2023-03-28T15:02:03.791-04:00,REFERENCES,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:02:03.793-04:00,2023-03-28T15:02:03.793-04:00,SELECT,VIEW,HR_EMP_JOB_EVENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
